Server,Percentage of resolution,increass FOV of camera,Duplication,objects in the Scene,Vertices in the Scene,Edges in the Scene,Faces in the Scene,Lights,Point lights,Sun lights,Spot lights,Hemi lights,Area lights,Materials in the Scene,Texeures in the Scene,Objects in Camera view,Vertices in Camera view,Edges in Camera view,Faces in Camera view,Materials in Camera view,Textures in Camera view,Area of face,Width,Height,pixels,Coverage,Render time
0,100,0.244,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1281,568416,1126319,558191,1,3,15629.95068,800,600,1920000,0.633506848,289.13295
0,100,0.366,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,78,22676,45093,22415,1,3,301.9579555,800,600,1920000,0.356471021,25.60388
0,100,0.366,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,161,63130,125249,62150,1,3,1192.545769,800,600,1920000,0.445275416,28.016588
0,100,0.366,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,321,149784,296438,146770,1,3,9086.930754,800,600,1920000,0.668117269,38.984
0,100,0.366,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,637,253674,502837,249297,1,3,21428.43071,800,600,1920000,0.793476917,67.589901
0,100,0.366,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1281,542628,1076479,534076,1,3,10586.33195,800,600,1920000,0.826643093,419.124735
0,100,0.488,4,83,37264,73712,36480,48,32,0,0,0,16,1,3,81,38421,76046,37655,1,3,3514.460286,800,600,1920000,0.40928949,12.796827
0,100,0.488,5,163,74528,147424,72960,96,64,0,0,0,32,1,3,161,70536,139996,69459,1,3,652.2823528,800,600,1920000,0.564941342,36.547371
0,100,0.488,6,323,149056,294848,145920,192,128,0,0,0,64,1,3,321,120001,238308,118392,1,3,2827.894195,800,600,1920000,0.665719809,81.148547
0,100,0.488,7,643,298112,589696,291840,384,256,0,0,0,128,1,3,641,271197,538364,267233,1,3,2263.732631,800,600,1920000,0.598127494,396.140559
0,100,0.488,8,1283,596224,1179392,583680,768,512,0,0,0,256,1,3,1268,447505,886808,439639,1,3,27039.51258,800,600,1920000,0.905175522,108.855765
