File,Server,Render engine,Percentage of resolution,increass FOV of camera,Duplication,objects in the Scene,Vertices in the Scene,Edges in the Scene,Faces in the Scene,Lights,Point lights,Sun lights,Spot lights,Hemi lights,Area lights,Texeures of lights,Materials in the Scene,Texeures in the Scene,Objects in Camera view,Vertices in Camera view,Edges in Camera view,Faces in Camera view,Materials in Camera view,Textures in Camera view,Area of face,Width,Height,pixels,Render time,Coverage
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.488,5,163,74528,147424,72960,96,64,0,0,0,32,0,1,3,159,46829,92997,46217,1,3,1795.5948163337196,320.0,240.0,307200.0,8.404633,0.5331487085941957
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.488,6,323,149056,294848,145920,192,128,0,0,0,64,0,1,3,321,137394,272153,134854,1,3,9384.784155183357,320.0,240.0,307200.0,17.601512,0.637827779260731
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.488,7,643,298112,589696,291840,384,256,0,0,0,128,0,1,3,619,159027,316138,157179,1,3,3892.3419256161255,320.0,240.0,307200.0,47.229591,0.6981798214852583
Ana_1,nmsl5,BLENDER_RENDER,40.0,0.488,8,1283,596224,1179392,583680,768,512,0,0,0,256,0,1,3,1254,345997,688939,342981,1,3,6299.514548832543,320.0,240.0,307200.0,101.624003,0.5930719992261184
Ana_1,nmsl5,BLENDER_RENDER,60.0,0.0,4,83,37264,73712,36480,48,32,0,0,0,16,0,1,3,81,38670,76723,38077,1,3,672.768309458404,480.0,360.0,691200.0,10.764133,0.4601178767471608
Ana_1,nmsl5,BLENDER_RENDER,60.0,0.0,5,163,74528,147424,72960,96,64,0,0,0,32,0,1,3,161,72015,142729,70749,1,3,2088.7561069620824,480.0,360.0,691200.0,9.660215,0.807108469691399
Ana_1,nmsl5,BLENDER_RENDER,60.0,0.0,6,323,149056,294848,145920,192,128,0,0,0,64,0,1,3,321,89369,177753,88468,1,3,1108.4586793549265,480.0,360.0,691200.0,35.405315,0.6217614605111674
Ana_1,nmsl5,BLENDER_RENDER,60.0,0.0,7,643,298112,589696,291840,384,256,0,0,0,128,0,1,3,639,240590,477441,236928,1,3,18858.206482738467,480.0,360.0,691200.0,23.601313,0.831556772009432
Ana_1,nmsl5,BLENDER_RENDER,60.0,0.0,8,1283,596224,1179392,583680,768,512,0,0,0,256,0,1,3,1281,553373,1096578,543522,1,3,49799.89629979331,480.0,360.0,691200.0,38.967138,0.9695988018531949
Ana_1,nmsl5,BLENDER_RENDER,60.0,0.122,4,83,37264,73712,36480,48,32,0,0,0,16,0,1,3,81,39423,78040,38646,1,3,1655.4976224221355,480.0,360.0,691200.0,4.916444,0.3732264946808187
Ana_1,nmsl5,BLENDER_RENDER,60.0,0.122,5,163,74528,147424,72960,96,64,0,0,0,32,0,1,3,161,57446,113867,56456,1,3,2857.2675078323246,480.0,360.0,691200.0,7.463894,0.4808606090682974
Ana_1,nmsl5,BLENDER_RENDER,60.0,0.122,6,323,149056,294848,145920,192,128,0,0,0,64,0,1,3,321,148576,293970,145507,1,3,23603.24726390699,480.0,360.0,691200.0,9.650123,0.6349260392516639
Ana_1,nmsl5,BLENDER_RENDER,60.0,0.122,7,643,298112,589696,291840,384,256,0,0,0,128,0,1,3,639,245420,487072,241721,1,3,48270.63919066159,480.0,360.0,691200.0,12.31372,0.6979946912690588
Ana_1,nmsl5,BLENDER_RENDER,60.0,0.122,8,1283,596224,1179392,583680,768,512,0,0,0,256,0,1,3,1281,532642,1056188,523660,1,3,74862.02472023397,480.0,360.0,691200.0,23.911882,0.5820974176238947
Ana_1,nmsl5,BLENDER_RENDER,60.0,0.244,4,83,37264,73712,36480,48,32,0,0,0,16,0,1,3,81,38382,76143,37782,1,3,922.6859171046598,480.0,360.0,691200.0,8.102972,0.47635495145418544
Ana_1,nmsl5,BLENDER_RENDER,60.0,0.244,5,163,74528,147424,72960,96,64,0,0,0,32,0,1,3,161,65815,130724,64920,1,3,772.5659677381025,480.0,360.0,691200.0,27.449662,0.568906689976464
