File,Server,Render engine,Percentage of resolution,increass FOV of camera,Duplication,objects in the Scene,Vertices in the Scene,Edges in the Scene,Faces in the Scene,Lights,Point lights,Sun lights,Spot lights,Hemi lights,Area lights,Texeures of lights,Materials in the Scene,Texeures in the Scene,Objects in Camera view,Vertices in Camera view,Edges in Camera view,Faces in Camera view,Materials in Camera view,Textures in Camera view,Area of face,Width,Height,pixels,Render time,Coverage
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.488,2,67,95476,181816,88508,0,0,0,0,0,0,0,11,10,65,94578,181075,88433,11,10,2994.059926647504,384.0,216.0,331776.0,0.230278,0.20534348752836556
Bambo_House_1,nmsl5,CYCLES,20.0,0.488,2,67,95476,181816,88508,0,0,0,0,0,0,0,11,10,65,86106,168536,84117,11,10,2244.251732074037,384.0,216.0,331776.0,44.666708,0.38080572707360927
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.488,3,131,190952,363632,177016,0,0,0,0,0,0,0,11,10,129,189868,362490,176762,11,10,3318.8471757753173,384.0,216.0,331776.0,0.483787,0.5392214931005446
Bambo_House_1,nmsl5,CYCLES,20.0,0.488,3,131,190952,363632,177016,0,0,0,0,0,0,0,11,10,129,180260,349817,172962,11,10,8404.714045070226,384.0,216.0,331776.0,50.949095,0.4301600499609278
Bambo_House_1,nmsl5,BLENDER_RENDER,20.0,0.488,4,259,381904,727264,354032,0,0,0,0,0,0,0,11,10,257,327770,652178,330228,11,10,19653.62318240022,384.0,216.0,331776.0,1.003818,0.660032910723543
Bambo_House_1,nmsl5,CYCLES,20.0,0.488,4,259,381904,727264,354032,0,0,0,0,0,0,0,11,10,257,266538,571135,305941,11,10,9803.126782713232,384.0,216.0,331776.0,176.004006,0.43078128343330235
Bambo_House_1,nmsl5,BLENDER_RENDER,40.0,0.0,0,19,23869,45454,22127,0,0,0,0,0,0,0,11,10,17,23869,45454,22127,11,10,846.0620823136181,768.0,432.0,1327104.0,0.086222,0.2019706901399523
Bambo_House_1,nmsl5,CYCLES,40.0,0.0,0,19,23869,45454,22127,0,0,0,0,0,0,0,11,10,17,23869,45454,22127,11,10,846.0620823136181,768.0,432.0,1327104.0,57.290276,0.2019706901399523
Bambo_House_1,nmsl5,BLENDER_RENDER,40.0,0.0,1,35,47738,90908,44254,0,0,0,0,0,0,0,11,10,33,47738,90908,44254,11,10,1936.7256694102878,768.0,432.0,1327104.0,0.147298,0.297094666316631
Bambo_House_1,nmsl5,CYCLES,40.0,0.0,1,35,47738,90908,44254,0,0,0,0,0,0,0,11,10,33,47738,90908,44254,11,10,1940.3724709751098,768.0,432.0,1327104.0,74.002537,0.34552272437790854
Bambo_House_1,nmsl5,BLENDER_RENDER,40.0,0.0,2,67,95476,181816,88508,0,0,0,0,0,0,0,11,10,65,95476,181816,88508,11,10,3259.3900007884345,768.0,432.0,1327104.0,0.242001,0.4981618440358676
Bambo_House_1,nmsl5,CYCLES,40.0,0.0,2,67,95476,181816,88508,0,0,0,0,0,0,0,11,10,65,95472,181814,88508,11,10,3563.0113251392454,768.0,432.0,1327104.0,85.369139,0.4076236039047773
Bambo_House_1,nmsl5,BLENDER_RENDER,40.0,0.0,3,131,190952,363632,177016,0,0,0,0,0,0,0,11,10,129,176192,344778,171710,11,10,2854.1632755363485,768.0,432.0,1327104.0,0.501479,0.4280856517392636
Bambo_House_1,nmsl5,CYCLES,40.0,0.0,3,131,190952,363632,177016,0,0,0,0,0,0,0,11,10,129,188916,361418,176443,11,10,6506.436095123643,768.0,432.0,1327104.0,139.466257,0.6018096528351969
Bambo_House_1,nmsl5,BLENDER_RENDER,40.0,0.0,4,259,381904,727264,354032,0,0,0,0,0,0,0,11,10,257,355553,689991,341908,11,10,15531.755149928584,768.0,432.0,1327104.0,0.958307,0.7839206843498886
Bambo_House_1,nmsl5,CYCLES,40.0,0.0,4,259,381904,727264,354032,0,0,0,0,0,0,0,11,10,257,373201,715402,350143,11,10,10614.083751036407,768.0,432.0,1327104.0,408.454019,0.6102989960892413
Bambo_House_1,nmsl5,BLENDER_RENDER,40.0,0.122,0,19,23869,45454,22127,0,0,0,0,0,0,0,11,10,17,23869,45454,22127,11,10,846.0620823136181,768.0,432.0,1327104.0,0.085114,0.14851484815104668
Bambo_House_1,nmsl5,CYCLES,40.0,0.122,0,19,23869,45454,22127,0,0,0,0,0,0,0,11,10,17,23869,45454,22127,11,10,846.0620823136181,768.0,432.0,1327104.0,50.799558,0.14851484815104668
Bambo_House_1,nmsl5,BLENDER_RENDER,40.0,0.122,1,35,47738,90908,44254,0,0,0,0,0,0,0,11,10,33,47738,90908,44254,11,10,2228.2904512977047,768.0,432.0,1327104.0,0.141303,0.19078356044878975
Bambo_House_1,nmsl5,CYCLES,40.0,0.122,1,35,47738,90908,44254,0,0,0,0,0,0,0,11,10,33,47738,90908,44254,11,10,2050.5640823775393,768.0,432.0,1327104.0,60.013953,0.21279389320847597
Bambo_House_1,nmsl5,BLENDER_RENDER,40.0,0.122,2,67,95476,181816,88508,0,0,0,0,0,0,0,11,10,65,95476,181816,88508,11,10,3582.8877955055036,768.0,432.0,1327104.0,0.243621,0.3876231843159222
Bambo_House_1,nmsl5,CYCLES,40.0,0.122,2,67,95476,181816,88508,0,0,0,0,0,0,0,11,10,65,93748,179865,88034,11,10,3339.728325178334,768.0,432.0,1327104.0,126.382519,0.3077248129589871
Bambo_House_1,nmsl5,BLENDER_RENDER,40.0,0.122,3,131,190952,363632,177016,0,0,0,0,0,0,0,11,10,129,189297,361288,176156,11,10,6886.995483806416,768.0,432.0,1327104.0,0.462548,0.401286027471582
Bambo_House_1,nmsl5,CYCLES,40.0,0.122,3,131,190952,363632,177016,0,0,0,0,0,0,0,11,10,129,164547,326637,165103,11,10,3412.3417633467648,768.0,432.0,1327104.0,566.618397,0.48845800134608014
Bambo_House_1,nmsl5,BLENDER_RENDER,40.0,0.122,4,259,381904,727264,354032,0,0,0,0,0,0,0,11,10,257,363056,702159,345982,11,10,7575.892255250973,768.0,432.0,1327104.0,0.912328,0.5430769210223159
Bambo_House_1,nmsl5,CYCLES,40.0,0.122,4,259,381904,727264,354032,0,0,0,0,0,0,0,11,10,257,337957,666128,334349,11,10,18666.410941477647,768.0,432.0,1327104.0,145.410459,0.5811068108155223
Bambo_House_1,nmsl5,BLENDER_RENDER,40.0,0.244,0,19,23869,45454,22127,0,0,0,0,0,0,0,11,10,17,23869,45454,22127,11,10,846.0620823136181,768.0,432.0,1327104.0,0.093548,0.11189382827171326
Bambo_House_1,nmsl5,CYCLES,40.0,0.244,0,19,23869,45454,22127,0,0,0,0,0,0,0,11,10,17,23869,45454,22127,11,10,846.0620823136181,768.0,432.0,1327104.0,42.103294,0.11189382827171326
Bambo_House_1,nmsl5,BLENDER_RENDER,40.0,0.244,1,35,47738,90908,44254,0,0,0,0,0,0,0,11,10,33,47738,90908,44254,11,10,1910.7832994174607,768.0,432.0,1327104.0,0.14225,0.18697126452245594
Bambo_House_1,nmsl5,CYCLES,40.0,0.244,1,35,47738,90908,44254,0,0,0,0,0,0,0,11,10,33,47738,90908,44254,11,10,1771.77634522789,768.0,432.0,1327104.0,61.918869,0.14945670579562942
Bambo_House_1,nmsl5,BLENDER_RENDER,40.0,0.244,2,67,95476,181816,88508,0,0,0,0,0,0,0,11,10,65,87411,171296,85267,11,10,2287.687038447416,768.0,432.0,1327104.0,0.251244,0.30324022718990473
Bambo_House_1,nmsl5,CYCLES,40.0,0.244,2,67,95476,181816,88508,0,0,0,0,0,0,0,11,10,65,95476,181816,88508,11,10,3315.2871224937185,768.0,432.0,1327104.0,80.93583,0.4304507401879182
Bambo_House_1,nmsl5,BLENDER_RENDER,40.0,0.244,3,131,190952,363632,177016,0,0,0,0,0,0,0,11,10,129,122619,273849,150306,11,10,6970.919171309265,768.0,432.0,1327104.0,0.469756,0.3242294121264582
Bambo_House_1,nmsl5,CYCLES,40.0,0.244,3,131,190952,363632,177016,0,0,0,0,0,0,0,11,10,129,190952,363632,177016,11,10,6976.7820733469025,768.0,432.0,1327104.0,139.19924,0.48421823494509186
Bambo_House_1,nmsl5,BLENDER_RENDER,40.0,0.244,4,259,381904,727264,354032,0,0,0,0,0,0,0,11,10,257,326857,651000,329924,11,10,9500.374942895955,768.0,432.0,1327104.0,1.006318,0.6003798161155706
Bambo_House_1,nmsl5,CYCLES,40.0,0.244,4,259,381904,727264,354032,0,0,0,0,0,0,0,11,10,257,368923,710226,348960,11,10,20213.489687518042,768.0,432.0,1327104.0,168.901435,0.5710145867606593
Bambo_House_1,nmsl5,BLENDER_RENDER,40.0,0.366,0,19,23869,45454,22127,0,0,0,0,0,0,0,11,10,17,23869,45454,22127,11,10,846.0620823136181,768.0,432.0,1327104.0,0.078825,0.0857534837982053
Bambo_House_1,nmsl5,CYCLES,40.0,0.366,0,19,23869,45454,22127,0,0,0,0,0,0,0,11,10,17,23869,45454,22127,11,10,846.0620823136181,768.0,432.0,1327104.0,36.016035,0.0857534837982053
Bambo_House_1,nmsl5,BLENDER_RENDER,40.0,0.366,1,35,47738,90908,44254,0,0,0,0,0,0,0,11,10,33,47738,90908,44254,11,10,1619.5074366309595,768.0,432.0,1327104.0,0.143653,0.1345330928051405
